Investigação De Câncer relacionado ao Trabalho - Notificações registradas no Sinan Net - Brasil
Notificações por Ocupação
Período:2019-2023
"Ocupação";"Notificações"
"422120 RECEPCIONISTA DE HOTEL";1
"422205 TELEFONISTA";2
"422305 OPERADOR DE TELEMARKETING ATIVO";1
"423105 DESPACHANTE DOCUMENTALISTA";1
"510125 CHEFE DE COZINHA";1
"511110 COMISSARIO DE TREM";1
"511215 COBRADOR DE TRANSPORTES COLETIVOS (EXCETO TREM)";4
"512105 EMPREGADO DOMESTICO NOS SERVICOS GERAIS";24
"512115 EMPREGADO DOMESTICO FAXINEIRO";7
"512120 EMPREGADO DOMESTICO DIARISTA";10
"513115 GOVERNANTA DE HOTELARIA";1
"513205 COZINHEIRO GERAL";10
"513210 COZINHEIRO DO SERVICO DOMESTICO";1
"513315 CAMAREIRO DE HOTEL";2
"513425 COPEIRO";1
"513435 ATENDENTE DE LANCHONETE";1
"514120 ZELADOR DE EDIFICIO";2
"514205 COLETOR DE LIXO";2
"514210 FAXINEIRO";28
"514215 GARI";8
"514225 TRABALHADOR DE SERVICOS DE MANUTENCAO DE EDIFICIOS E LOGRADOUROS";3
"515105 AGENTE COMUNITARIO DE SAUDE";25
"515110 ATENDENTE DE ENFERMAGEM";2
"515215 AUXILIAR DE LABORATORIO DE ANALISES CLINICAS";1
"516110 CABELEIREIRO";32
"516120 MANICURE";2
"516135 MASSAGISTA";2
"516205 BABA";2
"516210 CUIDADOR DE IDOSOS";5
"516305 LAVADEIRO, EM GERAL";6
"516315 LAVADOR DE ARTEFATOS DE TAPECARIA";1
"516340 ATENDENTE DE LAVANDERIA";1
"516345 AUXILIAR DE LAVANDERIA";1
"516405 LAVADOR DE ROUPAS";2
"516505 AGENTE FUNERARIO";3
"517210 POLICIAL RODOVIARIO FEDERAL";1
"517215 GUARDA-CIVIL MUNICIPAL";4
"517310 AGENTE DE SEGURANCA";3
"517315 AGENTE DE SEGURANCA PENITENCIARIA";1
"517330 VIGILANTE";8
"517410 PORTEIRO DE EDIFICIOS";4
"519110 MOTOCICLISTA NO TRANSPORTE DE DOCUMENTOS E PEQUENOS VOLUMES";9
"519205 CATADOR DE MATERIAL RECICLAVEL";1
"519320 TOSADOR DE ANIMAIS DOMESTICOS";1
"519910 CONTROLADOR DE PRAGAS";1
"519935 LAVADOR DE VEICULOS";3
"520110 SUPERVISOR DE VENDAS COMERCIAL";1
"521135 FRENTISTA";22
"523115 CHAVEIRO";1
"524105 VENDEDOR EM DOMICILIO";3
"524205 FEIRANTE";2
"524210 JORNALEIRO (EM BANCA DE JORNAL)";1
"524305 VENDEDOR AMBULANTE";16
"611005 PRODUTOR AGROPECUARIO, EM GERAL";85
"391115 CONTROLADOR DE ENTRADA E SAIDA";1
"391205 INSPETOR DE QUALIDADE";2
"410105 SUPERVISOR ADMINISTRATIVO";2
"410220 SUPERVISOR DE CONTROLE PATRIMONIAL";1
"411005 AUXILIAR DE ESCRITORIO, EM GERAL";3
"411010 ASSISTENTE ADMINISTRATIVO";8
"411030 AUXILIAR DE PESSOAL";2
"413115 AUXILIAR DE FATURAMENTO";1
"414105 ALMOXARIFE";1
"414110 ARMAZENISTA";2
"414205 APONTADOR DE MAO-DE-OBRA";1
"414215 CONFERENTE DE CARGA E DESCARGA";2
"415130 OPERADOR DE MAQUINA COPIADORA (EXCETO OPERADOR DE GRAFICA RAPIDA)";1
"415205 CARTEIRO";5
"421105 ATENDENTE COMERCIAL (AGENCIA POSTAL)";1
"421305 COBRADOR EXTERNO";1
"422105 RECEPCIONISTA, EM GERAL";2
"612005 PRODUTOR AGRICOLA POLIVALENTE";462
"612305 PRODUTOR NA OLERICULTURA DE LEGUMES";2
"612410 PRODUTOR DE FLORES EM VASO";1
"612420 PRODUTOR DE PLANTAS ORNAMENTAIS";1
"612605 CAFEICULTOR";36
"612620 PRODUTOR DE FUMO";6
"613005 CRIADOR EM PECUARIA POLIVALENTE";1
"613305 AVICULTOR";1
"613405 APICULTOR";1
"620115 SUPERVISOR DE EXPLORACAO PECUARIA";1
"621005 TRABALHADOR AGROPECUARIO EM GERAL";816
"622005 CASEIRO (AGRICULTURA)";86
"622010 JARDINEIRO";13
"622020 TRABALHADOR VOLANTE DA AGRICULTURA";170
"622105 TRABALHADOR DA CULTURA DE ARROZ";1
"622110 TRABALHADOR DA CULTURA DE CANA-DE-ACUCAR";3
"622115 TRABALHADOR DA CULTURA DE MILHO E SORGO";1
"622120 TRABALHADOR DA CULTURA DE TRIGO, AVEIA, CEVADA E TRITICALE";1
"622205 TRABALHADOR DA CULTURA DE ALGODAO";1
"622310 TRABALHADOR NA OLERICULTURA (LEGUMES)";3
"622505 TRABALHADOR NO CULTIVO DE ARVORES FRUTIFERAS";1
"622515 TRABALHADOR NO CULTIVO DE TREPADEIRAS FRUTIFERAS";1
"622605 TRABALHADOR DA CULTURA DE CACAU";1
"622610 TRABALHADOR DA CULTURA DE CAFE";37
"622620 TRABALHADOR DA CULTURA DE FUMO";5
"622730 TRABALHADOR NA CULTURA DE SOJA";1
"623015 TRABALHADOR DE PECUARIA POLIVALENTE";7
"623020 TRATADOR DE ANIMAIS";1
"521110 VENDEDOR DE COMERCIO VAREJISTA";27
"623115 TRABALHADOR DA PECUARIA (BOVINOS LEITE)";3
"623120 TRABALHADOR DA PECUARIA (BUBALINOS)";1
"623215 TRABALHADOR DA SUINOCULTURA";2
"623410 TRABALHADOR NA APICULTURA";1
"631020 PESCADOR ARTESANAL DE PEIXES E CAMAROES";3
"631105 PESCADOR ARTESANAL DE AGUA DOCE";6
"631210 PESCADOR PROFISSIONAL";13
"716215 TELHADOR (TELHAS METALICAS)";1
"716305 VIDRACEIRO";2
"716520 LUSTRADOR DE PISO";1
"716610 PINTOR DE OBRAS";44
"717010 OPERADOR DE MARTELETE";1
"717020 SERVENTE DE OBRAS";23
"721105 FERRAMENTEIRO";3
"721215 OPERADOR DE MAQUINAS-FERRAMENTA CONVENCIONAIS";3
"721405 OPERADOR DE CENTRO DE USINAGEM COM COMANDO NUMERICO";1
"721430 OPERADOR DE TORNO COM COMANDO NUMERICO";2
"722205 FUNDIDOR DE METAIS";2
"722215 OPERADOR DE ACABAMENTO DE PECAS FUNDIDAS";5
"722415 TREFILADOR DE METAIS, A MAQUINA";1
"723235 OPERADOR DE ZINCAGEM (PROCESSO ELETROLITICO)";1
